,Username,User ID,Number of Posts,Followers Count,Following Count,Bio,External URL
0,cristiano,173560420,3725,635408777,576,Get @WHOOP now at,https://bit.ly/whoopxcr7
1,leomessi,427553890,1246,504891084,324,Bienvenidos a la cuenta oficial de Instagram de Leo Messi / Welcome to the official Leo Messi Instagram account,http://themessiexperience.com/
2,kyliejenner,12281817,7052,398283714,98,@kyliecosmetics @kylieskin @khy @drinksprinter,http://kyliecosmetics.com/
3,selenagomez,460563723,1994,425198287,319,"By grace, through faith. 
Founder @rarebeauty 
Founder/CIO @officialwondermind",https://linktr.ee/selenagomez
4,therock,232192182,7851,396044381,0,"builder of stuff
cheat meal crusher 
tequila sipper 
og girl dad 💕",http://therock.komi.io/
5,arianagrande,7719696,228,377641985,763,currently somewhere over the rainbow,http://arianagrande.lnk.to/bio
6,kimkardashian,18428658,6247,361489927,328,@SKIMS @SKKN @SKKYPARTNERS,https://skims.social/shop-skims
7,beyonce,247944034,2315,317159513,1,act iiㅤ ㅤ         COWBOY CARTER ㅤ       out now,https://www.beyonce.com/
8,khloekardashian,208560325,4540,307686882,123,"@kardashianshulu 
@goodamerican                                                                                      TikTok 🤍@khloekardashian",https://www.fabletics.com/khloe
9,justinbieber,6860189,7520,293976311,785,"JUSTICE the album out now
@drewhouse",https://churcho.me/3T9o6dF
10,nike,13460080,1459,304849959,198,Winning Isn't For Everyone. It's for those who do whatever it takes.,https://linkin.bio/nike
11,taylorswift,11830955,666,283885938,0,All’s fair in love and poetry... New album THE TORTURED POETS DEPARTMENT. Out now 🤍,http://taylorswift.com/
12,jlo,305701719,939,251831523,1557,,http://onthejlo.com/
13,virat.kohli,2094200507,1703,270898685,302,Carpediem!,
14,kendalljenner,6380930,564,292224356,243,@drink818,
15,natgeo,787132,29521,282133733,162,Inspiring the explorer in everyone 🌎,https://on.natgeo.com/instagram
16,nickiminaj,451573056,6736,228618176,677,"#PinkFriday2 ALBUM OUT NOW🎀
#PinkFriday2 WORLD TOUR🎫 @pinkfridaynails 💅🏽#PinkFriday2FRAGRANCE @ JCPenney & Amazon",https://nickiminaj.lnk.to/PF2GagCity
17,kourtneykardash,145821237,4552,222276990,151,@poosh @lemme,http://lemmelive.com/
18,kendalljenner,6380930,564,292224351,243,@drink818,
19,neymarjr,26669533,5649,223782273,1801,@alhilal & Brazil 🇧🇷,https://linktr.ee/neymarjr
20,natgeo,787132,29521,282133710,162,Inspiring the explorer in everyone 🌎,https://on.natgeo.com/instagram
21,mileycyrus,325734299,1319,215396084,282,,http://mileycyrus.com/
22,katyperry,407964088,2441,205993603,771,"LIFETIMES 
OUT NOW
PRE-ORDER 143
OUT SEPTEMBER 20",http://katy.to/143
23,zendaya,9777455,3493,182939153,0,"@challengersmovie IN THEATERS NOW
@dunemovie
@euphoria
@spidermanmovie",http://challengersmovie.com/
24,kevinhart4real,6590609,9311,179516636,1113,Live Love & Laugh!!!   Facebook.com/HartKevin Twitter: Kevinhart4real  #ComedicRockstar #ActingMyAge @therealhartbeat  @vitahustle @grancoramino,https://www.airbnb.com/slink/ttpNmVnL
25,iamcardib,1436859892,1770,166266640,3444,,http://cardib.lnk.to/miami
26,ddlovato,189393625,193,155627012,856,"Pre-Save “Chula” Out August 15 ❤️‍🔥
Child Star on Hulu Out September 17",https://linktr.ee/demilovato
27,badgalriri,25945306,4953,151815376,1636,,https://rihanna.lnk.to/savagex
28,kingjames,19410587,2628,159816581,432,,
29,champagnepapi,14455831,503,145610658,3301,@stake stake.com                                                           @officialnocta @octobersveryown @betterworldfragrancehouse @drakerelated,https://youtu.be/ZkXG3ZrXlbc?feature=shared
